dataset,seeds,validation_cases_per_seed,dice_mean,dice_std,iou_mean,iou_std,precision_mean,precision_std,recall_mean,recall_std,specificity_mean,specificity_std,accuracy_mean,accuracy_std,hd95_mean,hd95_std,assd_mean,assd_std
BUSI,3,130,0.8103318072116161,0.028264375421403413,0.72953070751201,0.03423536033071485,0.8314749670058085,0.02682683793281427,0.8256796988635017,0.019467285243912776,0.9807846336743214,0.004844685855499314,0.9643756964268372,0.0060340063550485025,22.727746870780663,2.151496636725259,8.969058126361395,1.072350375655092
CVC,3,123,0.9280726079534446,0.007406778668900625,0.8753058842982934,0.009569472975851251,0.9336633577757952,0.016433915051462262,0.9337908093643587,0.009131866398092008,0.993598306475577,0.002302547800358876,0.98814512009868,0.0013908611691676417,11.272013428602513,2.4808190115854427,3.038861241907592,0.72175040458385
GLAS,3,33,0.9222385740314086,0.0017565940578260016,0.8623775999361539,0.002527366123239152,0.9156069406797042,0.012419550087012865,0.9364337555235965,0.016011659109085523,0.9106931946681814,0.004894826434539693,0.9273806485263892,0.00841807956727839,16.524260094212263,5.4022418034548085,3.350138015180147,0.8928053565851413
