dataset,seed,validation_cases,split_sha256,dice,iou,precision,recall,specificity,accuracy,hd95,assd
BUSI,2981,130,34e5a47aac3eb839088896a8794c861f04f8de181379c33f1ee2b02dca9519dc,0.8233156810392762,0.7498056984196614,0.8367904863307628,0.8382568395034807,0.9778160355208343,0.9621986976037236,23.121470837730865,9.208588947306074
BUSI,6142,130,25a5e49674ff5b5a3f66b05f8fffc480db5b24031b4e87189670024773f2fd36,0.7779084379562707,0.6900035292639642,0.802388280497865,0.8032561713151987,0.9781626510034485,0.959732290414725,24.655190387045856,9.901387800722548
BUSI,1187,130,c264c2c0b5cdb03fb98f3e82420b2059d2d92cca481cac34d99934d37b2c11b5,0.8297713026393013,0.7487828948524043,0.8552461341887977,0.8355260857718255,0.9863752144986817,0.9711961012620631,20.406579387565273,7.797197631055563
CVC,2981,123,f61666ee21e9a113a94ab53727fa53ad10cbddf07c4aebbb1f0322b6d5502776,0.9355865132619333,0.8853295545916544,0.947012079507627,0.9311629355890313,0.9953892721883346,0.9897276095258667,8.441978830742425,2.2312815878864254
CVC,6142,123,60812a2711272ec7b641cb7836b9244bc8915d2b31ac87f02f863869e76c954e,0.9278534922812247,0.8743213731295217,0.9386694200620289,0.926261008723222,0.9944046043732122,0.9875911309467289,13.071271666827082,3.2643676615992647
CVC,1187,123,c76f795e6e0399f3f7ea89ddf95af2978068ca572106ee5bb0456ed05b5d0c87,0.9207778183171758,0.8662667251737038,0.9153085737577299,0.9439484837808227,0.9910010428651842,0.9871166198234445,12.302789788238034,3.6209344762370863
GLAS,2981,33,fb56a8d3a034f7897c0acd4ac71e200fe29a962bb7e126d4a5a9b4349c6649b0,0.9202174441336481,0.8595228860837978,0.9284836866471184,0.919932894915637,0.9098295274472118,0.917791655569491,11.003153443684026,2.5301679667476233
GLAS,6142,33,332785f4aaf99b3507d5eaa464722afc1617a8ed420438bc7b45c1089b56754a,0.9231011587915008,0.8632800415008008,0.9146354941022908,0.9374616913261536,0.915962371043329,0.9307958429511,16.770404439593772,3.2189777312745567
GLAS,1187,33,a4142f7ab5815de5bd0fd1e7d117631f694b254ca1ae73133465e176a2626bdc,0.9233971191690769,0.8643298722238631,0.9037016412897033,0.9519066803289988,0.9062876855140034,0.9335544470585768,21.799222399358992,4.301268347518262
